Time_since_Eemian	Ne	Area
120	1300	1
119	1400	1
118	1500	1
117	1400	1
116	1300	1
115	1200	1
114	1100	1
113	1000	1
112	900	1
111	800	0.66
110	700	0.36
109	600	0.06
108	500	-0.24
107	400	-0.54
106	300	-0.84
105	200	-1.14
104	100	-1.44
103	125	-1.74
102	150	-2.04
101	175	-2.02
100	200	-2
99	225	-1.98
98	250	-1.96
97	275	-1.94
96	300	-1.92
95	325	-1.9
94	350	-1.88
93	375	-1.86
92	400	-1.84
91	425	-1.82
90	450	-1.8
89	475	-1.78
88	500	-1.76
87	525	-1.74
86	550	-1.72
85	575	-1.7
84	600	-1.68
83	625	-1.66
82	650	-1.64
81	675	-1.62
80	700	-1.6
79	725	-1.58
78	750	-1.56
77	775	-1.54
76	800	-1.52
75	825	-1.5
74	850	-1.48
73	875	-1.46
72	900	-1.44
71	925	-1.42
70	950	-1.4
69	975	-1.38
68	1000	-1.36
67	1025	-1.34
66	1050	-1.32
65	1075	-1.3
64	1100	-1.28
63	1125	-1.26
62	1150	-1.24
61	1175	-1.22
60	1200	-1.2
59	1225	-1.18
58	1250	-1.16
57	1275	-1.14
56	1300	-1.12
55	1325	-1.1
54	1350	-1.08
53	1375	-1.06
52	1400	-1.04
51	1425	-1.02
50	1450	-1
49	1475	-0.9
48	1500	-0.8
47	1525	-0.7
46	1550	-0.6
45	1575	-0.5
44	1562.5	-0.4
43	1550	-0.3
42	1537.5	-0.2
41	1525	-0.1
40	1512.5	0
39	1500	0
38	1487.5	0
37	1475	0
36	1462.5	0
35	1450	0
34	1437.5	0
33	1425	0
32	1412.5	0
31	1400	0
30	1387.5	0
29	1375	0
28	1362.5	0
27	1350	0
26	1337.5	0
25	1325	0
24	1312.5	0
23	1300	0
22	1287.5	0
21	1275	0
20	1262.5	0
19	1212.5	0
18	1162.5	0
17	1112.5	0
16	1062.5	0
15	1012.5	0
14	962.5	0
13	912.5	0
12	862.5	0
11	812.5	0
10	762.5	0
9	712.5	0
8	662.5	0
7	612.5	0
6	562.5	0
5	512.5	0
4	462.5	0
3	412.5	1
2	362.5	1.5
1	312.5	1.5
0	262.5	1.5
